Date,Album,Type,Genre,Spotify,Bandcamp
8.01,Vyre - Voidserpent,[Studio],"Avantgarde metal, Progressive black metal",https://open.spotify.com/album/0lJf9XVzMjc833lUS88YKY,Error: No search results found.
8.01,Plaguewielder (USA) - In Dust & Ash,[Studio],Blackened sludge metal,https://open.spotify.com/album/7GP021Sa2sW8me99P990Cs,Error: No search results found.
6.01,Dreadnaught - Shutdown In A Heartbeat,[Studio],"Groove metal, Heavy metal",https://open.spotify.com/album/3eCQ0PJX5Xdkis1SyCf8bu,https://dreadnaughtaust.bandcamp.com/album/shutdown-in-a-heartbeat
6.01,Moonthoth - Czarnonoc,[EP],Black metal,https://open.spotify.com/album/6JJQGYNHgwox1bj2mwjzyB,https://moonthoth.bandcamp.com/album/czarnonoc
6.01,Silent Deep Ocean - In Dark Eternity,[Studio],Gothic doom metal,https://open.spotify.com/album/1BvXMelcVtI6QNS7zuAx6k,https://silentdeepocean5.bandcamp.com/album/in-dark-eternity
6.01,Obscure Sphinx - Emovere,[EP],"Doom metal, Post-metal, Sludge metal",https://open.spotify.com/album/17volQfzHFxxSm46VodEpa,https://obscuresphinx.bandcamp.com/album/emovere
6.01,Bergthron - Neu Asen Land,[Studio],Progressive black metal,https://open.spotify.com/album/5ym22jtBeBDYyW6GZptUS0,https://bergthron.bandcamp.com/album/neu-asen-land
5.01,Dødsfall - Live In Germany,[Live],Black metal,https://open.spotify.com/album/7EPGJTyG9MQ6gJWANmL4n3,https://dodsfall.bandcamp.com/album/live-in-germany
5.01,Blood Red Fog - Marrasväet,[Studio],Black metal,https://open.spotify.com/album/7dThD0ZbftpiMw5kChXpC5,https://bloodredfog.bandcamp.com/album/marrasv-et
5.01,Lumnos - Na Santa Paz Da Aurora,[EP],Atmospheric black metal,https://open.spotify.com/album/3GMuC4JK3A0Upw3SgUlGYc,https://lumnos.bandcamp.com/album/na-santa-paz-da-aurora
3.01,Am I In Trouble? - Spectrum,[Studio],"Blackened avantgarde metal, Post black metal, Progressive black metal",https://open.spotify.com/album/5zmNnuRaA6fSQhN6qPAX5T,https://amiintrouble.bandcamp.com/album/spectrum
3.01,Bloodbark - Sacred Sound Of Solitude,[Studio],Atmospheric black metal,https://open.spotify.com/album/6SGP9Kh7ej2dhDpeD3nI0R,https://bloodbark.bandcamp.com/album/sacred-sound-of-solitude
3.01,Mutagenic Host - The Diseased Machine,[Studio],Death metal,https://open.spotify.com/album/44aaI2dOOxnINlIwtp7lEl,https://mutagenichost-gurglinggore.bandcamp.com/album/the-diseased-machine
3.01,Shadows Ground - Keeper Of The Forgotten Canons,[EP],Black metal,https://open.spotify.com/album/0bkY3IrrsLxdnI3bsO2I8b,https://shadowsgroundofficial.bandcamp.com/album/keeper-of-the-forgotten-canons
3.01,Piss On Christ - Seventh Blasphemous Slab,[Studio],Death metal,https://open.spotify.com/album/68NwWaM0tHnKjsRLsrtKYO,https://pissonchrist.bandcamp.com/album/seventh-blasphemous-slab-cm1023
3.01,Pale Cremation - Communion [Soviet Tapes 1984],[Studio],"Doom metal, Stoner metal",https://open.spotify.com/album/2OTpx6ous4CgHRjdw5ck68,https://palecremation.bandcamp.com/album/communion-soviet-tapes-1984
3.01,Acid Cross - Under Dark,[Studio],"Black metal, Thrash metal",https://open.spotify.com/album/0hU0Xk1Zvc6oui0ZyPydva,https://acidcross.bandcamp.com/album/under-dark
3.01,Prognan - Sve Će To Narod Pozlatiti,[Studio],Melodic black metal,https://open.spotify.com/album/4E7hFmTDF1eyBIxdXyREiF,https://prognanband.bandcamp.com/album/sve-e-to-narod-pozlatiti
3.01,Gonemage - Entranced By The Ice Storm,[EP],Experimental black metal,https://open.spotify.com/album/6DM57dLpOwUolA20kC58Iq,https://gonemage.bandcamp.com/album/entranced-by-the-ice-storm
03.01,Faidra - Dies Irae,[EP],Atmospheric black metal,https://open.spotify.com/album/2XWhOXhX1yoK227bvaVKzJ,https://faidra-northernsilence.bandcamp.com/album/dies-irae
03.01,Lord Agheros - Anhedonia,[Studio],Extreme gothic metal,https://open.spotify.com/album/4hwHxaF7CYnqa7wFZujpN3,https://lordagheros.bandcamp.com/album/anhedonia
03.01,Patriarkh - Пpopoк Илия,[Studio],Black metal,https://open.spotify.com/album/5aHW08dm8AyF8HG8YaV7co,Error: No search results found.
03.01,Paleface Swiss - Cursed,[Studio],Deathcore,https://open.spotify.com/album/2ic9y0c0Y7goGxrre1ud7Q,https://palefaceswiss.bandcamp.com/album/cursed
02.01,Old Nick - Where Poison Apples Grow,[EP],"Dungeon synth, Black metal",https://open.spotify.com/album/48ep5QAmIBdI4BFeXjaegA,https://grimestone.bandcamp.com/album/old-nick-the-where-poison-apples-grow-ep
01.01,The Ironfist - Akumalize,[Studio],"Black metal, Thrash metal",https://open.spotify.com/album/1n4LD74QPSQcZmRdHHBGwd,https://theironfistsingahell.bandcamp.com/album/akumalize
01.01,Gravewürm - Pestilent Revenant,[Studio],"Black metal, Death metal",https://open.spotify.com/album/6mRafvUDkcPpM8vV8CXAyo,https://gravewurm.bandcamp.com/album/pestilent-revenant-2025-album
01.01,Heljarmadr - A Poison To The Firmament,[EP],Melodic black metal,https://open.spotify.com/album/1KPAANPid8UDhPetJP1E39,Error: No search results found.
01.01,Theophonos - Banishment,[EP],"Mathcore, Black metal",https://open.spotify.com/album/0ou2U5BUfcp2FIY0TB7cEK,https://theophonos.bandcamp.com/album/banishment
01.01,Serpentum - The Hilt Of Forking Tongues,[Studio],Depressive black metal,https://open.spotify.com/album/0RrDeVDBmw3eM1hHn5hk2l,https://serpentum.bandcamp.com/album/the-hilt-of-forking-tongues
01.01,Orthodoxyn - Orthodoxyn,[Studio],Black metal,https://open.spotify.com/album/6B0jcirdQC8a7pOyQ3L9FP,https://orthodoxyn.bandcamp.com/album/orthodoxyn
01.01,Revel In Void - The Painting,[Studio],Gothic doom metal,https://open.spotify.com/album/1UJi7ddXRnFyLvJ5EvF1Qv,https://riv-music.bandcamp.com/album/the-painting
01.01,Estuarine - Corporeal Furnace,[Studio],"Avantgarde metal, Technical death metal, Grindcore",https://open.spotify.com/album/1bDkXZkb0ASVCz1NXQKiYh,https://estuarinemetal.bandcamp.com/album/corporeal-furnace
01.01,BioNKill - They Must Die,[Studio],Thrash metal,https://open.spotify.com/album/4wSLkcNuHqsKUOpOEXN8Rb,https://bionkill.bandcamp.com/album/they-must-die
